,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
9119,9119,151019,Lamacia Rosso,Tenimenti Association,Italy,Friuli Venezia Giulia,,,,Merlot,Cabernet Sauvignon,Refosco,,,,,,,,,,Red,Table,12,15~17,SWEET2,ACIDITY3,BODY3,TANNIN3,25000,2010,750,45.41850010228157,11.241511455047506,,,,,,,
9593,9593,151719,Foffani Merlot Riserva,Foffani,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,58000,2009,750,45.9434149,13.3406411,,,,,,,
10061,10061,152416,"Ca'Lojera, Monte della Guardia Rosato",Ca Lojera,Italy,Lombardia,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Rose,Table,13,12~14,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2011,750,45.452386673570814,10.641535337856407,,,,,,,
10065,10065,152421,"Collazzi, Liberta",Collazzi,Italy,Toscana,,,,Merlot,Syrah & Shiraz,Sangiovese,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750,43.71823215299291,11.19752684135428,,,,,,,
10099,10099,152460,"Le Macchiole, Bolgheri Rosso",Le Macchiole,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750,43.203476244439635,10.586409110316497,,,,,,,
10107,10107,152473,"Mezzacorona, Merlot Castel Firmian",Mezzacorona,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750,46.21422227008547,11.12046194871795,,,,,,,
10142,10142,152528,Il Borro,Il Borro,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,193000,2016,750,43.5513894,11.7028581,,,,,,,
10214,10214,152623,"Petrolo, Galatrona ",Petrolo,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN3,400000,0,750,43.4789409,11.5634589,,,,,,,
10496,10496,153121,"Gaja, Promis",Gaja,Italy,Toscana,,,,Merlot,Syrah & Shiraz,Sangiovese,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,110000,2018,750,43.8789876,7.6398465,,,,,,,
10499,10499,153131,"Gaja, Ca'Marcanda",Gaja,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,336000,2017,750,43.8789876,7.6398465,,,,,,,
10560,10560,153341,Castellare Baffonero,Castellare di Castellina,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,494000,2013,750,43.445987110714285,11.27937853016592,,,,,,,
10563,10563,153344,"Feudi Del Pisciotto, Valentino",Feudi del Pisciotto,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,66000,2015,750,37.11575677655343,14.411986110564785,,,,,,,
10627,10627,153492,"Valturio, CHIU",Valturio,Italy,Cabernet Sauvignon,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,180000,2009,750,43.80408,12.44023,,,,,,,
