,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
14475,14475,160460,Giacomo Marengo Armire Langhe,Giacomo Marengo,Italy,Piemonte,Langhe,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,450000,2005,750,43.33029052608695,11.727208821739131,275.0,108.0,296.0,296.0,77.0,304.0,400.0
15549,15549,161721,"Barone Montalto, Collezione di Famiglia Merlot",Barone Montalto,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,62500,2014,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0
16664,16664,162922,"Poggio Torselli, Raniero",Poggio Torselli,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.66984987655893,11.196492380114918,229.0,94.0,288.0,394.0,74.0,402.0,310.0
16672,16672,162935,"Mondello, Rinero Veneto Desmonta",Mondello Wines,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750,45.401528909139735,11.229835868539752,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16673,16673,162936,"Mondello, Nero d'Arcole Desmonta",Mondello Wines,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2012,750,45.401528909139735,11.229814410868391,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16675,16675,162938,"Bixio, Denxo Desmonta Super Appassimento",Bixio Poderi,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750,45.401552376008695,11.229623726211152,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16697,16697,162961,"Vignano Fanucci, Merlino",Vignano Fanucci,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.55664438103482,11.13055243963164,265.0,112.0,313.0,440.0,74.0,275.0,412.0
16742,16742,163009,"Le Fabbriche, Merlot Palma",Le Fabbriche,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.30160717081344,11.746716738618668,271.0,107.0,287.0,270.0,77.0,282.0,430.0
16810,16810,163084,"Poggio al Tesoro, Il Seggio ",Poggio al Tesoro,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,138000,2017,750,43.217632259706676,10.614775580769296,240.0,124.0,247.0,263.0,76.0,388.0,366.0
16966,16966,163241,"Franz-Haas, Merlot",FranzHaas,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,180000,2016,750,46.32208477928393,11.288035350534866,279.0,206.0,227.0,847.0,63.0,443.0,330.0
17100,17100,163484,"Famiglia Cotarella, Montiano",Famiglia Cotarella,Italy,Lazio,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750,42.652159142044006,12.244261379854033,266.0,104.0,292.0,290.0,74.0,248.0,460.0
17107,17107,163511,"Le Monde, Friuli Merlot",Le Monde,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,45.86058621041889,12.554067370215646,319.0,104.0,395.0,672.0,74.0,107.0,499.0
17110,17110,163550,Orma Rosso Super Tuscan,Orma,Italy,,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2016,750,43.1655109315899,10.609390766385436,250.0,122.0,257.0,352.0,74.0,379.0,364.0
17111,17111,163551,Passi di Orma the Second,Orma,Italy,,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750,43.1655109315899,10.609390766385436,250.0,122.0,257.0,352.0,74.0,379.0,364.0
17120,17120,163579,"San Felice, Bell'Aja",San Felice,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,43.350811496875004,11.467902484559106,279.0,97.0,377.0,538.0,71.0,272.0,351.0
17127,17127,163590,"Tenuta di Arceno Arcanum, Valadorna",Tenuta di Arceno,Italy,Toscana,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Petit Verdot,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,280000,2013,750,43.380307776970845,11.511851668249196,307.0,85.0,331.0,544.0,70.0,282.0,387.0
17132,17132,163609,"Valori, Inkiostro",Valori,Italy,Abruzzo,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,42.78785640000662,13.827079881714246,253.0,114.0,357.0,273.0,78.0,148.0,495.0
17260,17260,163758,"Cecchi, La Mora Merlot di Toscana",Cecchi,Italy,Toscana,Maremma,,,Merlot,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750,46.1377869,13.3375898,339.0,167.0,220.0,512.0,65.0,374.0,406.0
